test_id,user_id,is_bonus_attempted,section_id,question_id,marked_options,is_correct,input_value,time_taken,time_left_when_attempted,status
65a7e545fac8272031a65f15,642f896f0bf2518e44d38975,False,65a7e545fac8272031a65f16,65a7e545fac8272031a65f17,[],True,,239,21.0,notAnswered
65a7e545fac8272031a65f15,642f896f0bf2518e44d38975,False,65a7e545fac8272031a65f16,65a7e545fac8272031a65f18,['d7f0cd'],True,,113,21.0,answered
65a7e545fac8272031a65f15,642f896f0bf2518e44d38975,False,65a7e545fac8272031a65f16,65a7e545fac8272031a65f1a,['d67023'],True,,63,21.0,answered
65a7e545fac8272031a65f15,642f896f0bf2518e44d38975,False,65a7e545fac8272031a65f16,65a7e545fac8272031a65f1c,['5677a8'],True,,59,21.0,answered
65a7e545fac8272031a65f15,642f896f0bf2518e44d38975,False,65a7e545fac8272031a65f16,65a7e545fac8272031a65f1e,['2b8960'],True,,94,21.0,answered
65a7e545fac8272031a65f15,642f896f0bf2518e44d38975,False,65a7e545fac8272031a65f16,65a7e545fac8272031a65f20,['d6362c'],True,,33,21.0,answered
65a7e545fac8272031a65f15,642f896f0bf2518e44d38975,False,65a7e545fac8272031a65f16,65a7e545fac8272031a65f22,['cf92d9'],True,,111,21.0,answered
65a7e545fac8272031a65f15,642f896f0bf2518e44d38975,False,65a7e545fac8272031a65f16,65a7e545fac8272031a65f24,['f385e6'],True,,83,21.0,answered
65a7e545fac8272031a65f15,642f896f0bf2518e44d38975,False,65a7e545fac8272031a65f16,65a7e545fac8272031a65f26,['66437d'],True,,215,21.0,answered
65a7e545fac8272031a65f15,642f896f0bf2518e44d38975,False,65a7e545fac8272031a65f16,65a7e545fac8272031a65f28,['6eb8f7'],False,,137,21.0,answered
65a7e545fac8272031a65f15,642f896f0bf2518e44d38975,False,65a7e545fac8272031a65f16,65a7e545fac8272031a65f2a,['2b810c'],True,,172,21.0,answered
65a7e545fac8272031a65f15,642f896f0bf2518e44d38975,False,65a7e545fac8272031a65f16,65a7e545fac8272031a65f2c,['9c70d5'],False,,49,20.0,answered
